state,state_name,name,full_address,address_line1,address_city,address_state,address_zip,party,phone,url,facebook,twitter,youtube
AK,Alaska,Lisa Murkowski,522 Hart Senate Office Building Washington DC 20510,522 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-6665,http://www.murkowski.senate.gov/public/,SenLisaMurkowski,lisamurkowski,senatormurkowski
AK,Alaska,Dan Sullivan,702 Hart Senate Office Building Washington DC 20510,702 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-3004,http://www.sullivan.senate.gov/,SenDanSullivan,SenDanSullivan,UC7tXCm8gKlAhTFo2kuf5ylw
AL,Alabama,Richard C. Shelby,304 Russell Senate Office Building Washington DC 20510,304 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5744,http://www.shelby.senate.gov/public/,RichardShelby,SenShelbyPress,SenatorRichardShelby
AL,Alabama,Jeff Sessions,326 Russell Senate Office Building Washington DC 20510,326 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4124,http://www.sessions.senate.gov/public/,jeffsessions,senatorsessions,SenatorSessions
AR,Arkansas,John Boozman,141 Hart Senate Office Building Washington DC 20510,141 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-4843,http://www.boozman.senate.gov/public/,JohnBoozman,JohnBoozman,BoozmanPressOffice
AR,Arkansas,Tom Cotton,124 Russell Senate Office Building Washington DC 20510,124 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2353,http://www.cotton.senate.gov/,SenatorTomCotton,SenTomCotton,UCxrZsasJfxOVUEOnhed5doA
AZ,Arizona,John McCain,218 Russell Senate Office Building Washington DC 20510,218 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2235,http://www.mccain.senate.gov/public/,johnmccain,SenJohnMcCain,SenatorJohnMcCain
AZ,Arizona,Jeff Flake,413 Russell Senate Office Building Washington DC 20510,413 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4521,http://www.flake.senate.gov/public/,senatorjeffflake,JeffFlake,flakeoffice
CA,California,Dianne Feinstein,331 Hart Senate Office Building Washington DC 20510,331 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3841,http://www.feinstein.senate.gov/public/,SenatorFeinstein,SenFeinstein,SenatorFeinstein
CA,California,Kamala D. Harris,112 Hart Senate Office Building Washington DC 20510,112 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3553,https://www.harris.senate.gov,KamalaHarris,KamalaHarris,
CO,Colorado,Michael F. Bennet,261 Russell Senate Office Building Washington DC 20510,261 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5852,http://www.bennet.senate.gov/,senatorbennet,SenBennetCO,SenatorBennet
CO,Colorado,Cory Gardner,354 Russell Senate Office Building Washington DC 20510,354 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5941,http://www.gardner.senate.gov/,SenCoryGardner,sencorygardner,
CT,Connecticut,Richard Blumenthal,706 Hart Senate Office Building Washington DC 20510,706 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2823,http://www.blumenthal.senate.gov/,SenBlumenthal,SenBlumenthal,SenatorBlumenthal
CT,Connecticut,Christopher Murphy,136 Hart Senate Office Building Washington DC 20510,136 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4041,http://www.murphy.senate.gov/,ChrisMurphyCT,ChrisMurphyCT,SenChrisMurphy
DE,Delaware,Christopher A. Coons,127A Russell Senate Office Building Washington DC 20510,127A Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5042,http://www.coons.senate.gov/,senatorchriscoons,SenCoonsOffice,
DE,Delaware,Thomas R. Carper,513 Hart Senate Office Building Washington DC 20510,513 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2441,http://www.carper.senate.gov/public/,tomcarper,senatorcarper,SenatorCarper
FL,Florida,Bill Nelson,716 Hart Senate Office Building Washington DC 20510,716 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5274,http://www.billnelson.senate.gov/,billnelson,SenBillNelson,SenBillNelson
FL,Florida,Marco Rubio,284 Russell Senate Office Building Washington DC 20510,284 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3041,http://www.rubio.senate.gov/public/,SenatorMarcoRubio,SenRubioPress,SenatorMarcoRubio
GA,Georgia,Johnny Isakson,131 Russell Senate Office Building Washington DC 20510,131 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3643,http://www.isakson.senate.gov/,isakson,SenatorIsakson,SenatorIsakson
GA,Georgia,David Perdue,383 Russell Senate Office Building Washington DC 20510,383 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3521,http://www.perdue.senate.gov/,SenatorDavidPerdue,sendavidperdue,UCXHsrkPP4TAm0s0qB1C31Lw
HI,Hawaii,Mazie K. Hirono,330 Hart Senate Office Building Washington DC 20510,330 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6361,http://www.hirono.senate.gov/,mazie.hirono,maziehirono,CongresswomanHirono
HI,Hawaii,Brian Schatz,722 Hart Senate Office Building Washington DC 20510,722 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3934,http://www.schatz.senate.gov/,BrianSchatz,SenBrianSchatz,senbrianschatz
IA,Iowa,Chuck Grassley,135 Hart Senate Office Building Washington DC 20510,135 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-3744,http://www.grassley.senate.gov/,grassley,ChuckGrassley,senchuckgrassley
IA,Iowa,Joni Ernst,111 Russell Senate Office Building Washington DC 20510,111 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3254,http://www.ernst.senate.gov/,senjoniernst,SenJoniErnst,UCLwrmtF_84FIcK3TyMs4MIw
ID,Idaho,James E. Risch,483 Russell Senate Office Building Washington DC 20510,483 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2752,http://www.risch.senate.gov/public/,SenatorRisch,SenatorRisch,SenatorJamesRisch
ID,Idaho,Mike Crapo,239 Dirksen Senate Office Building Washington DC 20510,239 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-6142,http://www.crapo.senate.gov/,mikecrapo,mikecrapo,senatorcrapo
IL,Illinois,Tammy Duckworth,G12 Dirksen Senate Office Building Washington DC 20510,G12 Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2854,https://www.duckworth.senate.gov,SenDuckworth,SenDuckworth,SenDuckworth
IL,Illinois,Richard J. Durbin,711 Hart Senate Office Building Washington DC 20510,711 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2152,http://www.durbin.senate.gov/public/,SenatorDurbin,SenatorDurbin,SenatorDurbin
IN,Indiana,Joe Donnelly,720 Hart Senate Office Building Washington DC 20510,720 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4814,http://www.donnelly.senate.gov/,senatordonnelly,SenDonnelly,sendonnelly
IN,Indiana,Todd Young,B33 Russell Senate Office Building Washington DC 20510,B33 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5623,https://www.young.senate.gov,SenatorToddYoung,SenToddYoung,
KS,Kansas,Jerry Moran,521 Dirksen Senate Office Building Washington DC 20510,521 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-6521,http://www.moran.senate.gov/public/,jerrymoran,JerryMoran,SenatorJerryMoran
KS,Kansas,Pat Roberts,109 Hart Senate Office Building Washington DC 20510,109 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-4774,http://www.roberts.senate.gov/public/,SenPatRoberts,SenPatRoberts,SenPatRoberts
KY,Kentucky,Rand Paul,167 Russell Senate Office Building Washington DC 20510,167 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4343,http://www.paul.senate.gov/,SenatorRandPaul,SenRandPaul,senatorrandpaul
KY,Kentucky,Mitch McConnell,317 Russell Senate Office Building Washington DC 20510,317 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2541,http://www.mcconnell.senate.gov/public/,mitchmcconnell,McConnellPress,
LA,Louisiana,Bill Cassidy,703 Hart Senate Office Building Washington DC 20510,703 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-5824,http://www.cassidy.senate.gov/,billcassidy,billcassidy,
LA,Louisiana,John Kennedy,B11 Russell Senate Office Building Washington DC 20510,B11 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4623,https://www.kennedy.senate.gov,SenatorJohnKennedy,senjohnkennedy,
MA,Massachusetts,Edward J. Markey,255 Dirksen Senate Office Building Washington DC 20510,255 Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2742,http://www.markey.senate.gov/,EdJMarkey,MarkeyMemo,repmarkey
MA,Massachusetts,Elizabeth Warren,317 Hart Senate Office Building Washington DC 20510,317 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4543,http://www.warren.senate.gov/,senatorelizabethwarren,SenWarren,senelizabethwarren
MD,Maryland,Chris Van Hollen,B40C Dirksen Senate Office Building Washington DC 20510,B40C Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4654,http://www.vanhollen.senate.gov/,chrisvanhollen,ChrisVanHollen,RepChrisVanHollen
MD,Maryland,Benjamin L. Cardin,509 Hart Senate Office Building Washington DC 20510,509 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4524,http://www.cardin.senate.gov/,senatorbencardin,SenatorCardin,SenatorCardin
ME,Maine,Susan M. Collins,413 Dirksen Senate Office Building Washington DC 20510,413 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-2523,https://www.collins.senate.gov/,susancollins,SenatorCollins,SenatorSusanCollins
ME,Maine,Angus S. King Jr.,133 Hart Senate Office Building Washington DC 20510,133 Hart Senate Office Building,Washington,DC,20510,Independent,(202) 224-5344,http://www.king.senate.gov/,SenatorAngusSKingJr,SenAngusKing,senatorangusking
MI,Michigan,Debbie Stabenow,731 Hart Senate Office Building Washington DC 20510,731 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4822,http://www.stabenow.senate.gov/,stabenow,StabenowPress,SenatorStabenow
MI,Michigan,Gary C. Peters,724 Hart Senate Office Building Washington DC 20510,724 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6221,http://www.peters.senate.gov,SenGaryPeters,SenGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ
MN,Minnesota,Amy Klobuchar,302 Hart Senate Office Building Washington DC 20510,302 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3244,http://www.klobuchar.senate.gov/,amyklobuchar,amyklobuchar,senatorklobuchar
MN,Minnesota,Al Franken,309 Hart Senate Office Building Washington DC 20510,309 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5641,http://www.franken.senate.gov/,senatoralfranken,alfranken,SenatorFranken
MO,Missouri,Claire McCaskill,730 Hart Senate Office Building Washington DC 20510,730 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6154,http://www.mccaskill.senate.gov/,senatormccaskill,mccaskilloffice,SenatorMcCaskill
MO,Missouri,Roy Blunt,260 Russell Senate Office Building Washington DC 20510,260 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5721,http://www.blunt.senate.gov/,SenatorBlunt,RoyBlunt,SenatorBlunt
MS,Mississippi,Thad Cochran,113 Dirksen Senate Office Building Washington DC 20510,113 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-5054,http://www.cochran.senate.gov/public/,,SenThadCochran,sencochran
MS,Mississippi,Roger F. Wicker,555 Dirksen Senate Office Building Washington DC 20510,555 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-6253,http://www.wicker.senate.gov/public/,SenatorWicker,SenatorWicker,SenatorWicker
MT,Montana,Jon Tester,311 Hart Senate Office Building Washington DC 20510,311 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2644,http://www.tester.senate.gov/,senatortester,TesterPress,SenatorJonTester
MT,Montana,Steve Daines,320 Hart Senate Office Building Washington DC 20510,320 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-2651,http://www.daines.senate.gov/,SteveDainesMT,SteveDaines,SteveDainesMT
NC,North Carolina,Richard Burr,217 Russell Senate Office Building Washington DC 20510,217 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3154,http://www.burr.senate.gov/,SenatorRichardBurr,senatorburr,SenatorRichardBurr
NC,North Carolina,Thom Tillis,185 Dirksen Senate Office Building Washington DC 20510,185 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-6342,http://www.tillis.senate.gov/,SenatorThomTillis,SenThomTillis,UCUD9VGV4SSGWjGdbn37Ea2w
ND,North Dakota,John Hoeven,338 Russell Senate Office Building Washington DC 20510,338 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2551,https://www.hoeven.senate.gov/,SenatorJohnHoeven,SenJohnHoeven,SenatorJohnHoevenND
ND,North Dakota,Heidi Heitkamp,110 Hart Senate Office Building Washington DC 20510,110 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2043,http://www.heitkamp.senate.gov/public/,SenatorHeidiHeitkamp,SenatorHeitkamp,SenatorHeidiHeitkamp
NE,Nebraska,Deb Fischer,454 Russell Senate Office Building Washington DC 20510,454 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-6551,http://www.fischer.senate.gov/public/,senatordebfischer,SenatorFischer,SenatorDebFischer
NE,Nebraska,Ben Sasse,386A Russell Senate Office Building Washington DC 20510,386A Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4224,http://www.sasse.senate.gov/,SenatorSasse,SenSasse,UCYaNGwcM2Dl5yDcDqS6xV2g
NH,New Hampshire,Jeanne Shaheen,506 Hart Senate Office Building Washington DC 20510,506 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2841,http://www.shaheen.senate.gov/,SenatorShaheen,SenatorShaheen,senatorshaheen
NH,New Hampshire,Margaret Wood Hassan,B85 Russell Senate Office Building Washington DC 20510,B85 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3324,https://www.hassan.senate.gov,SenatorHassan,SenatorHassan,SenatorHassan
NJ,New Jersey,Cory A. Booker,359 Dirksen Senate Office Building Washington DC 20510,359 Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3224,https://www.senate.gov/senators/113th_Congress/Booker_Cory.htm,corybooker,CoryBooker,sencorybooker
NJ,New Jersey,Robert Menendez,528 Hart Senate Office Building Washington DC 20510,528 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4744,http://www.menendez.senate.gov/,senatormenendez,SenatorMenendez,SenatorMenendezNJ
NM,New Mexico,Tom Udall,531 Hart Senate Office Building Washington DC 20510,531 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6621,http://www.tomudall.senate.gov/,senatortomudall,SenatorTomUdall,SenatorTomUdall
NM,New Mexico,Martin Heinrich,303 Hart Senate Office Building Washington DC 20510,303 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5521,http://www.heinrich.senate.gov/,MartinHeinrich,MartinHeinrich,SenMartinHeinrich
NV,Nevada,Dean Heller,324 Hart Senate Office Building Washington DC 20510,324 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-6244,http://www.heller.senate.gov/public/,SenDeanHeller,SenDeanHeller,SenDeanHeller
NV,Nevada,Catherine Cortez Masto,B40A Dirksen Senate Office Building Washington DC 20510,B40A Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3542,https://www.cortezmasto.senate.gov,SenatorCortezMasto,SenCortezMasto,UCip_83SiKUqwnUT57VOXrCg
NY,New York,Charles E. Schumer,322 Hart Senate Office Building Washington DC 20510,322 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6542,http://www.schumer.senate.gov/,chuckschumer,SenSchumer,SenatorSchumer
NY,New York,Kirsten E. Gillibrand,478 Russell Senate Office Building Washington DC 20510,478 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4451,http://www.gillibrand.senate.gov/,KirstenGillibrand,SenGillibrand,KirstenEGillibrand
OH,Ohio,Rob Portman,448 Russell Senate Office Building Washington DC 20510,448 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3353,http://www.portman.senate.gov/public/,senrobportman,portmanpress,SenRobPortman
OH,Ohio,Sherrod Brown,713 Hart Senate Office Building Washington DC 20510,713 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2315,http://www.brown.senate.gov/,sherrod,SenSherrodBrown,SherrodBrownOhio
OK,Oklahoma,James Lankford,316 Hart Senate Office Building Washington DC 20510,316 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-5754,http://www.lankford.senate.gov/,SenatorLankford,SenatorLankford,
OK,Oklahoma,James M. Inhofe,205 Russell Senate Office Building Washington DC 20510,205 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4721,http://www.inhofe.senate.gov/,jiminhofe,InhofePress,JimInhofePressOffice
OR,Oregon,Jeff Merkley,313 Hart Senate Office Building Washington DC 20510,313 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3753,http://www.merkley.senate.gov/,jeffmerkley,SenJeffMerkley,SenatorJeffMerkley
OR,Oregon,Ron Wyden,221 Dirksen Senate Office Building Washington DC 20510,221 Dirksen Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5244,http://www.wyden.senate.gov/,wyden,RonWyden,senronwydenore
PA,Pennsylvania,Robert P. Casey Jr.,393 Russell Senate Office Building Washington DC 20510,393 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-6324,http://www.casey.senate.gov/,SenatorBobCasey,SenBobCasey,SenatorBobCasey
PA,Pennsylvania,Patrick J. Toomey,248 Russell Senate Office Building Washington DC 20510,248 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4254,http://www.toomey.senate.gov/,senatortoomey,SenToomey,sentoomey
RI,Rhode Island,Jack Reed,728 Hart Senate Office Building Washington DC 20510,728 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4642,http://www.reed.senate.gov/,SenJackReed,SenJackReed,senatorreed
RI,Rhode Island,Sheldon Whitehouse,530 Hart Senate Office Building Washington DC 20510,530 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2921,http://www.whitehouse.senate.gov/,SenatorWhitehouse,SenWhitehouse,SenatorWhitehouse
SC,South Carolina,Lindsey Graham,290 Russell Senate Office Building Washington DC 20510,290 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5972,http://www.lgraham.senate.gov/public/,USSenatorLindseyGraham,GrahamBlog,USSenLindseyGraham
SC,South Carolina,Tim Scott,520 Hart Senate Office Building Washington DC 20510,520 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-6121,http://www.scott.senate.gov/,SenatorTimScott,SenatorTimScott,SenatorTimScott
SD,South Dakota,Mike Rounds,502 Hart Senate Office Building Washington DC 20510,502 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-5842,http://www.rounds.senate.gov/,SenatorMikeRounds,SenatorRounds,
SD,South Dakota,John Thune,511 Dirksen Senate Office Building Washington DC 20510,511 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-2321,http://www.thune.senate.gov/public/,johnthune,SenJohnThune,JohnThune
TN,Tennessee,Lamar Alexander,455 Dirksen Senate Office Building Washington DC 20510,455 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-4944,http://www.alexander.senate.gov/public,senatorlamaralexander,senalexander,lamaralexander
TN,Tennessee,Bob Corker,425 Dirksen Senate Office Building Washington DC 20510,425 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-3344,http://www.corker.senate.gov/public/,bobcorker,SenBobCorker,senatorcorker
TX,Texas,John Cornyn,517 Hart Senate Office Building Washington DC 20510,517 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-2934,http://www.cornyn.senate.gov/public/,Sen.JohnCornyn,JohnCornyn,SenJohnCornyn
TX,Texas,Ted Cruz,404 Russell Senate Office Building Washington DC 20510,404 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5922,http://www.cruz.senate.gov/,SenatorTedCruz,SenTedCruz,SenTedCruz
UT,Utah,Mike Lee,361A Russell Senate Office Building Washington DC 20510,361A Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5444,http://www.lee.senate.gov/public/,senatormikelee,SenMikeLee,senatormikelee
UT,Utah,Orrin G. Hatch,104 Hart Senate Office Building Washington DC 20510,104 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-5251,http://www.hatch.senate.gov/public/,senatororrinhatch,SenOrrinHatch,SenatorOrrinHatch
VA,Virginia,Mark R. Warner,475 Russell Senate Office Building Washington DC 20510,475 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2023,http://warner.senate.gov/,MarkRWarner,MarkWarner,SenatorMarkWarner
VA,Virginia,Tim Kaine,231 Russell Senate Office Building Washington DC 20510,231 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4024,http://kaine.senate.gov/,SenatorKaine,SenKaineOffice,SenatorTimKaine
VT,Vermont,Bernard Sanders,332 Dirksen Senate Office Building Washington DC 20510,332 Dirksen Senate Office Building,Washington,DC,20510,Independent,(202) 224-5141,http://www.sanders.senate.gov/,senatorsanders,sensanders,SenatorSanders
VT,Vermont,Patrick J. Leahy,437 Russell Senate Office Building Washington DC 20510,437 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4242,http://www.leahy.senate.gov/,SenatorPatrickLeahy,SenatorLeahy,SenatorPatrickLeahy
WI,Wisconsin,Ron Johnson,328 Hart Senate Office Building Washington DC 20510,328 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-5323,http://www.ronjohnson.senate.gov/public/,senronjohnson,SenRonJohnson,SenatorRonJohnson
WI,Wisconsin,Tammy Baldwin,717 Hart Washington DC 20510,717 Hart,Washington,DC,20510,Democratic,(202) 224-5653,http://www.baldwin.senate.gov/,senatortammybaldwin,SenatorBaldwin,SenatorTammyBaldwin
WV,West Virginia,Joe Manchin III,306 Hart Senate Office Building Washington DC 20510,306 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3954,http://www.manchin.senate.gov/public/,JoeManchinIII,Sen_JoeManchin,SenatorJoeManchin
WV,West Virginia,Shelley Moore Capito,172 Russell Senate Office Building Washington DC 20510,172 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-6472,http://www.capito.senate.gov/,senshelley,SenCapito,UCbiXdR4XQ3vD9Xp5lfR9QXw
WY,Wyoming,John Barrasso,307 Dirksen Senate Office Building Washington DC 20510,307 Dirksen Senate Office Building,Washington,DC,20510,Republican,(202) 224-6441,http://www.barrasso.senate.gov/public/,johnbarrasso,SenJohnBarrasso,barrassowyo
WY,Wyoming,Michael B. Enzi,379A Russell Senate Office Building Washington DC 20510,379A Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-3424,http://www.enzi.senate.gov/public/,mikeenzi,SenatorEnzi,senatorenzi
